J,Knudsen_droplet,N,Points_0,Points_1,Points_2,S_sat,Y,drdt,r_droplet_actual
0,0,0,0.7275,0,0.005,13.0421,0,0,0
0,0,0,0.729,0,0.005,13.1912,0,0,0
0,0,0,0.7305,0,0.005,13.3454,0,0,0
0,0,0,0.732,0,0.005,13.4996,0,0,0
0,0,0,0.7335,0,0.005,13.6567,0,0,0
0,0,0,0.735,0,0.005,13.8155,0,0,0
0,0,0,0.7365,0,0.005,13.9757,0,0,0
0,0,0,0.738,0,0.005,14.1391,0,0,0
0,0,0,0.7395,0,0.005,14.3025,0,0,0
0,0,0,0.741,0,0.005,14.4689,0,0,0
0,0,0,0.7425,0,0.005,14.6355,0,0,0
0,0,0,0.744,0,0.005,14.8043,0,0,0
0,0,0,0.7455,0,0.005,14.9745,0,0,0
0,0,0,0.747,0,0.005,15.1535,0,0,0
0,0,0,0.7485,0,0.005,15.3522,0,0,0
0,0,0,0.75,0,0.005,15.5509,0,0,0
