Mach,Points_0,Points_1,Points_2,p_p0
1.08104,0.807,0,0.005,0.4908
1.08326,0.8085,0,0.005,0.48949
1.08548,0.81,0,0.005,0.488183
1.0877,0.8115,0,0.005,0.486877
1.08992,0.813,0,0.005,0.485573
1.09214,0.8145,0,0.005,0.484269
1.09437,0.816,0,0.005,0.482961
1.09661,0.8175,0,0.005,0.481652
1.09885,0.819,0,0.005,0.480342
1.1011,0.8205,0,0.005,0.47903
1.10335,0.822,0,0.005,0.477717
1.10558,0.8235,0,0.005,0.47642
1.1078,0.825,0,0.005,0.475129
1.11002,0.8265,0,0.005,0.473841
1.11221,0.828,0,0.005,0.472569
1.11441,0.8295,0,0.005,0.471298
1.11661,0.831,0,0.005,0.470027
1.11882,0.8325,0,0.005,0.468756
1.12103,0.834,0,0.005,0.467485
1.12324,0.8355,0,0.005,0.466213
1.12546,0.837,0,0.005,0.464941
1.12767,0.8385,0,0.005,0.463671
1.12988,0.84,0,0.005,0.462405
1.1321,0.8415,0,0.005,0.461138
1.1343,0.843,0,0.005,0.459882
1.1365,0.8445,0,0.005,0.458626
1.13871,0.846,0,0.005,0.457371
1.14092,0.8475,0,0.005,0.456118
1.14313,0.849,0,0.005,0.454865
1.14536,0.8505,0,0.005,0.453603
1.1476,0.852,0,0.005,0.452337
1.14984,0.8535,0,0.005,0.451071
1.1521,0.855,0,0.005,0.449798
1.15436,0.8565,0,0.005,0.448526
1.15661,0.858,0,0.005,0.447256
1.15887,0.8595,0,0.005,0.445991
1.16112,0.861,0,0.005,0.444726
1.16336,0.8625,0,0.005,0.443473
1.16559,0.864,0,0.005,0.442224
1.16782,0.8655,0,0.005,0.440977
1.17004,0.867,0,0.005,0.439741
1.17226,0.8685,0,0.005,0.438505
1.17448,0.87,0,0.005,0.437271
1.17671,0.8715,0,0.005,0.436037
1.17893,0.873,0,0.005,0.434803
1.18116,0.8745,0,0.005,0.43357
1.1834,0.876,0,0.005,0.432336
1.18563,0.8775,0,0.005,0.431104
1.18786,0.879,0,0.005,0.429878
1.19009,0.8805,0,0.005,0.428652
1.19231,0.882,0,0.005,0.427432
1.19453,0.8835,0,0.005,0.42622
1.19674,0.885,0,0.005,0.425008
1.19894,0.8865,0,0.005,0.423807
1.20113,0.888,0,0.005,0.422611
1.20333,0.8895,0,0.005,0.421414
1.20551,0.891,0,0.005,0.420227
1.2077,0.8925,0,0.005,0.419039
1.20989,0.894,0,0.005,0.417853
1.21207,0.8955,0,0.005,0.41667
1.21426,0.897,0,0.005,0.415488
1.21644,0.8985,0,0.005,0.414309
1.21862,0.9,0,0.005,0.413133
1.22081,0.9015,0,0.005,0.411957
1.22298,0.903,0,0.005,0.41079
1.22514,0.9045,0,0.005,0.409628
1.22731,0.906,0,0.005,0.408465
1.22945,0.9075,0,0.005,0.407318
1.23159,0.909,0,0.005,0.406173
1.23373,0.9105,0,0.005,0.405029
1.23586,0.912,0,0.005,0.403897
1.23798,0.9135,0,0.005,0.402765
1.2401,0.915,0,0.005,0.401636
1.24221,0.9165,0,0.005,0.400512
1.24433,0.918,0,0.005,0.399388
1.24644,0.9195,0,0.005,0.398268
1.24855,0.921,0,0.005,0.397151
1.25065,0.9225,0,0.005,0.396034
1.25274,0.924,0,0.005,0.394927
1.25483,0.9255,0,0.005,0.393826
1.25691,0.927,0,0.005,0.392724
1.25895,0.9285,0,0.005,0.391644
1.26099,0.93,0,0.005,0.390568
1.26302,0.9315,0,0.005,0.389493
1.265,0.933,0,0.005,0.388447
1.26697,0.9345,0,0.005,0.387402
1.26895,0.936,0,0.005,0.38636
1.27086,0.9375,0,0.005,0.385345
1.27278,0.939,0,0.005,0.38433
1.27469,0.9405,0,0.005,0.38332
1.27655,0.942,0,0.005,0.382332
1.2784,0.9435,0,0.005,0.381344
1.28025,0.945,0,0.005,0.380364
1.28205,0.9465,0,0.005,0.379404
1.28385,0.948,0,0.005,0.378444
1.28562,0.9495,0,0.005,0.377495
1.28735,0.951,0,0.005,0.376567
1.28908,0.9525,0,0.005,0.375639
1.29077,0.954,0,0.005,0.374727
1.29241,0.9555,0,0.005,0.373837
1.29405,0.957,0,0.005,0.372948
1.29564,0.9585,0,0.005,0.372079
1.29718,0.96,0,0.005,0.371233
1.29872,0.9615,0,0.005,0.370386
1.3002,0.963,0,0.005,0.369563
1.30164,0.9645,0,0.005,0.368761
1.30307,0.966,0,0.005,0.367958
1.30444,0.9675,0,0.005,0.367181
1.30577,0.969,0,0.005,0.366424
1.30709,0.9705,0,0.005,0.365666
1.30836,0.972,0,0.005,0.36493
1.30959,0.9735,0,0.005,0.364208
1.31082,0.975,0,0.005,0.363487
1.31198,0.9765,0,0.005,0.362793
1.31309,0.978,0,0.005,0.36212
1.3142,0.9795,0,0.005,0.361447
1.31523,0.981,0,0.005,0.360805
1.31621,0.9825,0,0.005,0.360186
1.31718,0.984,0,0.005,0.359567
1.31809,0.9855,0,0.005,0.358972
1.31893,0.987,0,0.005,0.358398
1.31978,0.9885,0,0.005,0.357823
1.32055,0.99,0,0.005,0.357278
1.32124,0.9915,0,0.005,0.356762
1.32193,0.993,0,0.005,0.356246
1.32253,0.9945,0,0.005,0.35576
1.32303,0.996,0,0.005,0.355311
1.32354,0.9975,0,0.005,0.354862
1.32395,0.999,0,0.005,0.354444
1.32424,1.0005,0,0.005,0.354073
1.32452,1.002,0,0.005,0.353703
1.32472,1.0035,0,0.005,0.353361
1.32474,1.005,0,0.005,0.353084
1.32477,1.0065,0,0.005,0.352806
1.32473,1.008,0,0.005,0.352551
1.32445,1.0095,0,0.005,0.352382
1.32417,1.011,0,0.005,0.352212
1.32386,1.0125,0,0.005,0.352054
1.32325,1.014,0,0.005,0.352003
1.32264,1.0155,0,0.005,0.351952
